Surname,count,percent,min_rank,cume_dist
鈴木,9628,0.5391131398468892,1,0.0014654591283449106
佐藤,9484,0.5310499603560342,2,0.002930918256689821
高橋,9319,0.5218109005227628,3,0.0043963773850347315
田中,8506,0.47628753298064386,4,0.005861836513379642
伊藤,7657,0.4287483705658113,5,0.007327295641724551
山本,7374,0.4129019830942003,6,0.008792754770069463
中村,7165,0.4011991739720566,7,0.010258213898414373
小林,7015,0.39280002866908265,8,0.011723673026759284
加藤,6724,0.37650568678131313,9,0.013189132155104196
吉田,6293,0.35237214261076794,10,0.014654591283449103
渡辺,6141,0.3438610087037543,11,0.016120050411794016
山田,6116,0.34246115115325865,12,0.017585509540138926
林,5585,0.3127281767807308,13,0.019050968668483836
井上,5109,0.2860748890192934,14,0.020516427796828746
山崎,5033,0.2818193220657866,15,0.02198188692517366
松本,4969,0.27823568673651766,16,0.02344734605351857
山口,4886,0.27358815966887207,17,0.024912805181863475
木村,4796,0.26854867248708775,18,0.026378264310208392
清水,4716,0.2640691283255016,19,0.0278437234385533
佐々木,4656,0.260709470204312,20,0.029309182566898205
森,4525,0.2533742166397147,21,0.030774641695243122
斉藤,4124,0.23092050152976434,22,0.03224010082358803
池田,4089,0.2289607009590704,23,0.033705559951932945
橋本,3956,0.22151345879043347,24,0.03517101908027785
石川,3875,0.21697792032682756,25,0.036636478208622765
前田,3858,0.2160260171924905,26,0.03810193733696767
近藤,3855,0.21585803428643102,27,0.03956739646531258
後藤,3774,0.21132249582282506,28,0.04103285559365749
中島,3763,0.21070655850060696,29,0.042498314722002405
山下,3750,0.20997863257434923,30,0.04396377385034732
岡田,3725,0.20857877502385358,31,0.045429232978692224
藤田,3705,0.20745888898345707,32,0.04689469210703714
阿部,3664,0.20516312260064418,33,0.048360151235382044
小川,3625,0.20297934482187094,34,0.04982561036372695
藤井,3533,0.19782786903604688,35,0.051291069492071864
村上,3491,0.19547610835121418,36,0.052756528620416784
斎藤,3448,0.19306835336436165,37,0.05422198774876169
石井,3387,0.18965270094115222,38,0.0556874468771066
青木,3297,0.18461321375936784,39,0.057152906005451504
長谷川,3279,0.18360531632301097,40,0.05861836513379641
太田,3252,0.18209347016847566,41,0.06008382426214133
西村,3243,0.18158952145029722,42,0.061549283390486244
高木,3211,0.17979770378566276,43,0.06301474251883114
岡本,3147,0.17621406845639387,44,0.06448020164717606
福田,3146,0.17615807415437404,45,0.06594566077552097
松田,3122,0.17481421090589822,46,0.06741111990386589
中川,3094,0.17324637044934307,47,0.0688765790322108
中野,3084,0.1726864274291448,48,0.0703420381605557
原田,3075,0.17218247871096637,49,0.07180749728890061
藤原,3054,0.17100659836855003,50,0.07327295641724553
竹内,3048,0.17067063255643106,51,0.07473841554559044
遠藤,3042,0.1703346667443121,52,0.07620387467393534
宮崎,3017,0.16893480919381643,53,0.07766933380228025
小野,3016,0.16887881489179662,54,0.07913479293062516
田村,2940,0.1646232479382898,55,0.08060025205897008
高田,2936,0.1643992707302105,56,0.08206571118731498
齋藤,2922,0.16361535050193293,57,0.0835311703156599
坂本,2912,0.16305540748173467,58,0.08499662944400481
三浦,2897,0.16221549295143725,59,0.08646208857234972
石田,2867,0.16053566389084248,60,0.08792754770069464
原,2836,0.15879984052822785,61,0.08939300682903954
和田,2825,0.15818390320600978,62,0.09085846595738445
柴田,2814,0.15756796588379168,63,0.09232392508572936
金子,2790,0.15622410263531583,64,0.09378938421407428
中山,2788,0.15611211403127617,65,0.09525484334241918
上田,2769,0.15504822229289947,66,0.09672030247076409
森田,2716,0.15208052428584867,67,0.098185761599109
安藤,2694,0.15084864964141248,68,0.0996512207274539
酒井,2678,0.14995274080909526,69,0.10111667985579882
内田,2659,0.14888884907071856,70,0.10258213898414373
横山,2560,0.14334541317075575,71,0.10404759811248863
岩崎,2542,0.14233751573439887,72,0.10551305724083357
渡邉,2524,0.141329618298042,73,0.10697851636917848
渡邊,2503,0.14015373795562563,74,0.10844397549752338
宮本,2478,0.13875388040512998,75,0.10990943462586829
谷口,2441,0.13668209123039637,76,0.1113748937542132
松井,2440,0.13662609692837657,77,0.1128403528825581
河野,2431,0.13612214821019814,78,0.11430581201090301
大野,2422,0.1356181994920197,79,0.11577127113924791
今井,2419,0.1354502165859602,80,0.11723673026759282
杉山,2414,0.13517024507586106,81,0.11870218939593775
村田,2383,0.13343442171324646,82,0.12016764852428266
